[2025-01-08, 4:26:09 PM] Sam: ‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.
[2024-04-22, 8:44:37 PM] Priya Nair: that's so real
[2024-12-24, 9:29:57 PM] Priya Nair: we'll see
[2024-12-27, 6:08:33 PM] Sam: no thoughts
[2024-12-28, 6:31:05 PM] Priya Nair: study group later?
[2024-12-28, 6:54:45 PM] Sam: idk
[2024-12-28, 9:54:18 PM] Priya Nair: maybe
[2024-12-29, 8:43:32 PM] Priya Nair: omg
[2024-12-30, 8:37:10 PM] Priya Nair: idk
[2024-12-30, 9:14:05 PM] Priya Nair: ok wait
[2024-12-31, 9:51:16 PM] Priya Nair: wait what
[2025-01-01, 7:45:46 PM] Priya Nair: no way
[2025-01-02, 5:22:03 PM] Priya Nair: coming
[2025-01-02, 6:34:18 PM] Priya Nair: fr
[2025-01-02, 8:58:51 PM] Priya Nair: ok but same
[2025-01-02, 10:21:28 PM] Priya Nair: i'm crying
[2025-01-03, 5:28:22 PM] Priya Nair: ok deal
[2025-01-04, 5:36:13 PM] Sam: bet
[2025-01-04, 6:08:13 PM] Priya Nair: same tbh
[2025-01-05, 4:03:42 PM] Priya Nair: lmaooo
[2025-01-05, 4:27:00 PM] Sam: no thoughts
[2025-01-05, 5:26:34 PM] Priya Nair: what time
[2025-01-05, 8:59:23 PM] Priya Nair: ok wait
[2025-01-06, 5:08:11 PM] Priya Nair: ok deal
[2025-01-06, 5:32:52 PM] Priya Nair: on my way
[2025-01-06, 9:04:35 PM] Priya Nair: on my way
[2025-01-07, 5:41:56 PM] Priya Nair: ok but same
[2025-01-07, 8:35:09 PM] Sam: no thoughts
[2025-01-08, 4:16:08 PM] Priya Nair: ok deal
[2025-01-08, 5:25:21 PM] Sam: one more week
[2025-01-08, 6:42:30 PM] Priya Nair: did you see that
[2025-01-08, 8:31:08 PM] Sam: hold on
[2025-01-09, 4:26:09 PM] Priya Nair: what time
[2025-01-09, 7:26:44 PM] Sam: yeah
[2025-01-10, 8:09:13 PM] Sam: let me check
[2025-01-10, 8:56:17 PM] Sam: fr
[2025-01-11, 7:43:46 PM] Sam: maybe
[2025-01-11, 8:28:39 PM] Priya Nair: idk
[2025-01-11, 10:03:05 PM] Priya Nair: that's so real
[2025-01-12, 6:02:31 PM] Sam: i'm crying
[2025-01-12, 9:01:12 PM] Priya Nair: let me check
[2025-01-12, 10:40:01 PM] Priya Nair: same tbh
[2025-01-13, 7:32:48 PM] Priya Nair: i'm crying
[2025-01-14, 4:15:33 PM] Sam: fr
[2025-01-14, 7:52:50 PM] Priya Nair: no thoughts
[2025-01-15, 4:17:37 PM] Sam: literally me
[2025-01-15, 5:36:49 PM] Priya Nair: we'll see
[2025-01-15, 7:18:55 PM] Sam: idk
[2025-01-15, 10:54:14 PM] Sam: literally me
[2025-01-16, 4:30:32 PM] Sam: coming
[2025-01-17, 9:32:56 PM] Sam: send it
[2025-01-19, 6:10:19 PM] Priya Nair: we'll see
[2025-01-19, 10:31:32 PM] Priya Nair: 5 min
[2025-01-20, 6:02:18 PM] Priya Nair: idk
[2025-01-21, 6:58:22 PM] Sam: i'm crying
[2025-01-21, 6:58:57 PM] Priya Nair: lmaooo
[2025-01-21, 8:36:54 PM] Priya Nair: no way
[2025-01-21, 10:13:48 PM] Sam: that's so real
[2025-01-22, 4:39:17 PM] Priya Nair: yeah
[2025-01-22, 5:01:26 PM] Priya Nair: ok wait
[2025-01-22, 5:56:46 PM] Priya Nair: wait what
[2025-01-22, 6:09:34 PM] Priya Nair: yeah
[2025-01-22, 7:30:11 PM] Priya Nair: ok deal
[2025-01-23, 6:06:57 PM] Sam: send it
[2025-01-23, 9:14:29 PM] Priya Nair: did you see that
[2025-01-24, 4:47:44 PM] Priya Nair: good morning
[2025-01-24, 6:33:10 PM] Priya Nair: did you see that
[2025-01-24, 9:52:47 PM] Priya Nair: bet
[2025-01-25, 8:06:35 PM] Priya Nair: good morning
[2025-01-26, 6:49:34 PM] Priya Nair: same tbh
[2025-01-26, 9:45:28 PM] Priya Nair: stopppp
[2025-01-26, 10:04:12 PM] Sam: i'm so tired
[2025-01-27, 5:03:25 PM] Priya Nair: i'm dying
[2025-01-27, 5:41:47 PM] Sam: ok wait
[2025-01-28, 5:03:00 PM] Sam: omg
[2025-01-28, 5:31:53 PM] Sam: no way
[2025-01-28, 9:35:40 PM] Priya Nair: lmaooo
[2025-01-31, 5:30:02 PM] Priya Nair: no thoughts
[2025-02-01, 4:37:34 PM] Sam: study group later?
[2025-02-01, 7:55:14 PM] Priya Nair: stopppp
[2025-02-01, 10:59:13 PM] Priya Nair: no thoughts
[2025-02-02, 10:27:07 PM] Priya Nair: fr
[2025-02-02, 10:49:39 PM] Priya Nair: omg
[2025-02-02, 10:56:29 PM] Priya Nair: i failed that
[2025-02-03, 5:41:01 PM] Sam: almost done
[2025-02-03, 8:54:51 PM] Priya Nair: idk
[2025-02-03, 9:58:34 PM] Sam: fr
[2025-02-05, 4:27:45 PM] Priya Nair: let me check
[2025-02-05, 5:15:59 PM] Priya Nair: idk
[2025-02-05, 9:02:56 PM] Priya Nair: almost done
[2025-02-06, 9:36:05 PM] Priya Nair: yeah
[2025-02-06, 10:11:11 PM] Priya Nair: literally me
[2025-02-07, 5:28:25 PM] Priya Nair: wait what
[2025-02-07, 7:01:26 PM] Sam: almost done
[2025-02-07, 8:07:08 PM] Priya Nair: literally me
[2025-02-07, 9:26:24 PM] Priya Nair: that's so real
[2025-02-07, 9:30:30 PM] Priya Nair: i'm dying
[2025-02-07, 10:30:48 PM] Sam: that's so real
[2025-02-08, 5:56:31 PM] Priya Nair: same tbh
[2025-02-08, 10:05:16 PM] Priya Nair: i'm so tired
[2025-02-08, 10:16:19 PM] Priya Nair: almost done
[2025-02-09, 4:17:28 PM] Priya Nair: ok wait
[2025-02-09, 8:05:08 PM] Priya Nair: ok wait
[2025-02-09, 9:28:22 PM] Sam: on my way
[2025-02-10, 5:23:33 PM] Priya Nair: i'm dying
[2025-02-10, 10:41:00 PM] Priya Nair: on my way
[2025-02-13, 4:34:27 PM] Sam: ok deal
[2025-02-13, 9:19:02 PM] Priya Nair: ok deal
[2025-02-13, 10:03:46 PM] Priya Nair: ok but same
[2025-02-14, 4:34:50 PM] Priya Nair: ok wait
[2025-02-14, 4:43:44 PM] Sam: did you see that
[2025-02-14, 7:40:46 PM] Priya Nair: i'm so tired
[2025-02-15, 8:57:49 PM] Priya Nair: wait what
[2025-02-16, 8:26:21 PM] Priya Nair: ok wait
[2025-02-17, 6:14:25 PM] Sam: we'll see
[2025-02-19, 5:50:17 PM] Priya Nair: did you see that
[2025-02-19, 5:59:11 PM] Priya Nair: omg
[2025-02-20, 5:39:19 PM] Priya Nair: study group later?
[2025-02-20, 8:03:08 PM] Priya Nair: ok deal
[2025-02-20, 10:46:58 PM] Priya Nair: i'm crying
[2025-02-23, 9:40:02 PM] Priya Nair: i'm dying
[2025-02-24, 5:40:01 PM] Priya Nair: goodnight
[2025-02-24, 8:39:26 PM] Priya Nair: good morning
[2025-02-24, 9:25:58 PM] Priya Nair: same tbh
[2025-02-25, 5:21:06 PM] Sam: hold on
[2025-02-25, 6:04:51 PM] Sam: sounds good
[2025-02-27, 6:50:35 PM] Priya Nair: one more week
[2025-02-27, 8:48:14 PM] Sam: same tbh
[2025-02-27, 10:47:56 PM] Priya Nair: study group later?
[2025-02-28, 10:17:36 PM] Priya Nair: study group later?
[2025-03-01, 9:57:48 PM] Priya Nair: omg
[2025-03-02, 5:01:43 PM] Sam: 5 min
[2025-03-02, 6:16:30 PM] Sam: sounds good
[2025-03-02, 8:40:13 PM] Priya Nair: same tbh
[2025-03-03, 4:18:16 PM] Priya Nair: lmaooo
[2025-03-03, 7:06:55 PM] Sam: study group later?
[2025-03-04, 6:11:50 PM] Priya Nair: did you see that
[2025-03-05, 4:17:04 PM] Priya Nair: same tbh
[2025-03-05, 5:35:06 PM] Priya Nair: i'm so tired
[2025-03-06, 5:04:29 PM] Priya Nair: that's so real
[2025-03-06, 10:27:34 PM] Priya Nair: omg
[2025-03-07, 4:08:51 PM] Priya Nair: coming
[2025-03-07, 4:58:08 PM] Priya Nair: idk
[2025-03-07, 6:06:18 PM] Priya Nair: goodnight
[2025-03-07, 6:42:08 PM] Sam: that's so real
[2025-03-07, 7:43:15 PM] Priya Nair: almost done
[2025-03-08, 5:13:20 PM] Priya Nair: on my way
[2025-03-08, 5:19:38 PM] Sam: send it
[2025-03-08, 5:25:33 PM] Sam: i'm dying
[2025-03-09, 4:20:19 PM] Priya Nair: lmaooo
[2025-03-09, 9:48:54 PM] Priya Nair: ok wait
[2025-03-09, 10:22:50 PM] Priya Nair: i'm dying
[2025-03-10, 4:37:18 PM] Priya Nair: what time
[2025-03-10, 4:45:56 PM] Priya Nair: no way
[2025-03-10, 4:56:35 PM] Priya Nair: literally me
[2025-03-10, 5:45:45 PM] Sam: ok deal
[2025-03-10, 10:38:49 PM] Priya Nair: lmaooo
[2025-03-11, 5:16:11 PM] Priya Nair: i'm dying
[2025-03-12, 5:20:58 PM] Priya Nair: same tbh
[2025-03-12, 6:01:48 PM] Priya Nair: bet
[2025-03-12, 7:19:39 PM] Priya Nair: good morning
[2025-03-12, 8:15:50 PM] Priya Nair: what time
[2025-03-13, 5:27:23 PM] Priya Nair: on my way
[2025-03-13, 8:00:03 PM] Priya Nair: sounds good
[2025-03-14, 6:02:05 PM] Priya Nair: hold on
[2025-03-14, 8:23:10 PM] Sam: i failed that
[2025-03-14, 10:21:16 PM] Sam: good morning
[2025-03-15, 4:00:11 PM] Priya Nair: 5 min
[2025-03-15, 5:40:00 PM] Sam: same tbh
[2025-03-15, 9:17:04 PM] Priya Nair: we'll see
[2025-03-15, 9:23:01 PM] Priya Nair: study group later?
[2025-03-16, 4:29:48 PM] Priya Nair: maybe
[2025-03-16, 9:24:59 PM] Priya Nair: no way
[2025-03-17, 7:18:53 PM] Priya Nair: maybe
[2025-03-17, 9:43:12 PM] Sam: bet
[2025-03-18, 9:10:43 PM] Priya Nair: lmaooo
[2025-03-18, 9:59:26 PM] Priya Nair: one more week
[2025-03-19, 5:02:47 PM] Priya Nair: hold on
[2025-03-19, 10:26:54 PM] Sam: almost done
[2025-03-20, 4:42:42 PM] Priya Nair: bet
[2025-03-20, 7:39:40 PM] Priya Nair: no thoughts
[2025-03-21, 5:20:42 PM] Sam: no way
[2025-03-21, 6:43:17 PM] Priya Nair: hold on
[2025-03-22, 7:55:42 PM] Priya Nair: almost done
[2025-03-23, 4:59:25 PM] Priya Nair: almost done
[2025-03-23, 7:59:11 PM] Priya Nair: that's so real
[2025-03-23, 8:48:30 PM] Priya Nair: on my way
[2025-03-26, 6:55:54 PM] Priya Nair: same tbh
[2025-03-26, 8:39:08 PM] Sam: on my way
[2025-03-26, 8:55:22 PM] Priya Nair: maybe
[2025-03-27, 5:52:06 PM] Sam: almost done
[2025-03-28, 5:28:53 PM] Priya Nair: did you see that
[2025-03-28, 5:38:53 PM] Priya Nair: let me check
[2025-03-29, 7:04:00 PM] Priya Nair: study group later?
[2025-03-29, 10:27:25 PM] Sam: coming
[2025-03-30, 8:02:22 PM] Priya Nair: stopppp
[2025-03-31, 4:49:51 PM] Priya Nair: stopppp
[2025-03-31, 6:12:40 PM] Priya Nair: study group later?
[2025-03-31, 8:15:14 PM] Priya Nair: we'll see
[2025-03-31, 10:35:18 PM] Priya Nair: coming
[2025-04-01, 4:32:59 PM] Priya Nair: ok wait
[2025-04-01, 6:14:37 PM] Sam: one more week
[2025-04-01, 10:06:03 PM] Priya Nair: sounds good
[2025-04-02, 6:46:12 PM] Sam: idk
[2025-04-02, 10:00:40 PM] Priya Nair: no way
[2025-04-03, 5:10:09 PM] Priya Nair: ok wait
[2025-04-03, 5:19:13 PM] Priya Nair: no way
[2025-04-03, 8:31:29 PM] Sam: 5 min
[2025-04-04, 4:54:08 PM] Sam: almost done
[2025-04-04, 6:09:09 PM] Sam: wait what
[2025-04-04, 7:16:26 PM] Priya Nair: i can't
[2025-04-05, 7:35:39 PM] Priya Nair: idk
[2025-04-05, 7:57:05 PM] Sam: ok but same
[2025-04-05, 8:18:49 PM] Priya Nair: hold on
[2025-04-05, 8:34:36 PM] Priya Nair: ok deal
[2025-04-05, 10:47:00 PM] Priya Nair: omg
[2025-04-06, 6:43:53 PM] Priya Nair: that's so real
[2025-04-06, 8:04:47 PM] Priya Nair: send it
[2025-04-06, 9:35:40 PM] Priya Nair: omg
[2025-04-06, 10:41:32 PM] Priya Nair: stopppp
[2025-04-08, 4:55:56 PM] Priya Nair: lmaooo
[2025-04-08, 8:21:19 PM] Priya Nair: send it
[2025-04-09, 7:41:41 PM] Priya Nair: i'm so tired
[2025-04-09, 9:09:30 PM] Sam: same tbh
[2025-04-09, 10:42:04 PM] Sam: bet
[2025-04-10, 4:22:42 PM] Priya Nair: 5 min
[2025-04-10, 10:00:56 PM] Priya Nair: almost done
[2025-04-11, 5:15:36 PM] Priya Nair: good morning
[2025-04-12, 6:00:33 PM] Priya Nair: same tbh
[2025-04-12, 7:35:48 PM] Priya Nair: i failed that
[2025-04-12, 7:40:26 PM] Sam: idk
[2025-04-12, 10:42:05 PM] Priya Nair: bet
[2025-04-13, 7:22:41 PM] Priya Nair: coming
[2025-04-13, 8:00:45 PM] Priya Nair: that's so real
[2025-04-13, 9:53:07 PM] Priya Nair: did you see that
[2025-04-13, 10:01:26 PM] Priya Nair: 5 min
[2025-04-13, 10:20:14 PM] Priya Nair: maybe
[2025-04-15, 4:26:49 PM] Priya Nair: let me check
[2025-04-15, 5:10:01 PM] Priya Nair: i can't
[2025-04-15, 9:31:58 PM] Priya Nair: omg
[2025-04-16, 5:27:37 PM] Priya Nair: i can't
[2025-04-16, 10:55:11 PM] Priya Nair: almost done
[2025-04-17, 5:06:43 PM] Sam: fr
[2025-04-18, 9:06:17 PM] Priya Nair: that's so real
[2025-04-19, 6:15:31 PM] Priya Nair: what time
[2025-04-19, 9:38:40 PM] Priya Nair: literally me
[2025-04-20, 5:03:57 PM] Priya Nair: omg
[2025-04-20, 7:35:41 PM] Priya Nair: study group later?
[2025-04-23, 4:00:07 PM] Priya Nair: i'm dying
[2025-04-24, 4:21:20 PM] Sam: i can't
[2025-04-24, 10:31:56 PM] Sam: lmaooo
[2025-04-25, 10:30:53 PM] Priya Nair: let me check
[2025-04-26, 9:29:03 PM] Sam: literally me
[2025-04-27, 10:19:18 PM] Sam: i failed that
[2025-04-28, 5:19:40 PM] Priya Nair: hold on
[2025-05-01, 6:28:59 PM] Priya Nair: i can't
[2025-05-02, 5:56:26 PM] Priya Nair: one more week
[2025-05-05, 4:21:49 PM] Priya Nair: no way
[2025-05-10, 5:33:00 PM] Priya Nair: stopppp
[2025-05-10, 8:15:28 PM] Priya Nair: literally me
[2025-05-10, 10:08:02 PM] Priya Nair: no thoughts
[2025-05-12, 4:26:53 PM] Priya Nair: what time
[2025-05-12, 8:10:30 PM] Priya Nair: did you see that
[2025-05-14, 5:26:50 PM] Priya Nair: did you see that
[2025-05-14, 9:26:54 PM] Priya Nair: wait what
[2025-05-15, 8:44:11 PM] Priya Nair: maybe
[2025-05-21, 9:20:10 PM] Priya Nair: no way
[2025-05-22, 4:55:00 PM] Priya Nair: ok but same
[2025-05-27, 6:42:37 PM] Priya Nair: maybe
[2025-05-30, 4:43:27 PM] Priya Nair: coming
[2025-05-31, 6:32:12 PM] Priya Nair: goodnight
[2025-06-01, 5:41:37 PM] Sam: study group later?
[2025-06-03, 7:29:13 PM] Priya Nair: good morning
[2025-06-03, 8:49:07 PM] Priya Nair: hold on
[2025-06-04, 8:12:41 PM] Sam: i'm so tired
[2025-06-05, 5:20:24 PM] Priya Nair: one more week
[2025-06-06, 5:43:55 PM] Priya Nair: coming
[2025-06-08, 4:09:53 PM] Priya Nair: idk
[2025-06-12, 8:07:16 PM] Sam: send it
[2025-06-15, 7:12:33 PM] Priya Nair: fr
[2025-06-18, 6:24:43 PM] Priya Nair: sounds good
[2025-06-20, 10:59:18 PM] Sam: yeah
[2025-06-21, 9:36:46 PM] Priya Nair: we should do a proper trip, like actually book something instead of talking about it
[2025-06-22, 8:03:20 PM] Priya Nair: omg
[2025-06-23, 10:14:49 PM] Priya Nair: i'm so tired
[2025-07-01, 8:34:35 PM] Priya Nair: let me check
[2025-07-02, 4:04:54 PM] Priya Nair: yeah
[2025-07-02, 10:17:03 PM] Priya Nair: goodnight
[2025-07-04, 8:17:56 PM] Priya Nair: lmaooo
[2025-07-05, 9:03:05 PM] Priya Nair: i can't
[2025-07-06, 5:07:03 PM] Sam: i failed that
[2025-07-07, 9:48:44 PM] Priya Nair: ok but same
[2025-07-07, 10:05:52 PM] Priya Nair: idk
[2025-07-09, 7:50:41 PM] Priya Nair: what time
[2025-07-11, 5:06:32 PM] Priya Nair: almost done
[2025-07-11, 7:16:55 PM] Priya Nair: same tbh
[2025-07-11, 10:14:16 PM] Priya Nair: what time
[2025-07-13, 8:33:31 PM] Priya Nair: hold on
[2025-07-15, 10:59:23 PM] Sam: ok wait
[2025-07-16, 8:19:08 PM] Priya Nair: i'm crying
[2025-07-19, 8:58:17 PM] Priya Nair: maybe
[2025-07-20, 9:51:35 PM] Sam: coming
[2025-07-20, 10:18:51 PM] Priya Nair: on my way
[2025-07-21, 6:04:52 PM] Priya Nair: ok deal
[2025-07-21, 6:28:57 PM] Priya Nair: i'm dying
[2025-07-25, 9:35:36 PM] Priya Nair: let me check
[2025-07-30, 6:27:27 PM] Priya Nair: idk
[2025-07-30, 8:14:40 PM] Priya Nair: fr
[2025-07-31, 10:26:24 PM] Priya Nair: let me check
[2025-08-03, 10:40:09 PM] Sam: no thoughts
[2025-08-10, 6:15:37 PM] Priya Nair: sounds good
[2025-08-14, 5:32:22 PM] Priya Nair: ok deal
[2025-08-14, 6:49:28 PM] Sam: literally me
[2025-08-17, 5:48:52 PM] Priya Nair: bet
[2025-08-17, 10:50:11 PM] Priya Nair: no thoughts
[2025-08-18, 4:20:38 PM] Priya Nair: lmaooo
[2025-08-19, 5:33:56 PM] Priya Nair: lmaooo
[2025-08-20, 8:06:03 PM] Priya Nair: idk
[2025-08-24, 6:34:52 PM] Priya Nair: goodnight
[2025-08-25, 10:44:11 PM] Priya Nair: sounds good
[2025-08-26, 8:47:56 PM] Priya Nair: i'm so tired
[2025-08-28, 4:08:19 PM] Sam: omg
[2025-09-02, 6:22:14 PM] Priya Nair: ok wait
[2025-09-03, 8:39:17 PM] Sam: i failed that
[2025-09-04, 9:42:36 PM] Priya Nair: i can't
[2025-09-06, 4:18:14 PM] Sam: on my way
[2025-09-07, 10:36:41 PM] Sam: ok but same
[2025-09-08, 8:31:03 PM] Priya Nair: literally me
[2025-09-11, 9:40:42 PM] Sam: 5 min
[2025-09-12, 7:10:26 PM] Priya Nair: 5 min
[2025-09-16, 4:18:05 PM] Priya Nair: i'm crying
[2025-09-19, 9:59:33 PM] Priya Nair: omg
[2025-09-22, 4:53:25 PM] Priya Nair: hold on
[2025-09-23, 7:50:30 PM] Priya Nair: sounds good
[2025-09-25, 7:01:00 PM] Priya Nair: we'll see
[2025-09-30, 5:18:22 PM] Priya Nair: no thoughts
[2025-09-30, 10:11:02 PM] Sam: study group later?
[2025-10-03, 5:00:32 PM] Priya Nair: that's so real
[2025-10-03, 10:18:07 PM] Priya Nair: idk
[2025-10-04, 10:10:14 PM] Sam: hold on
[2025-10-06, 9:44:42 PM] Priya Nair: i'm dying
[2025-10-08, 8:38:23 PM] Priya Nair: wait what
[2025-10-09, 4:11:16 PM] Sam: coming
[2025-10-10, 8:53:30 PM] Priya Nair: i'm dying
[2025-10-10, 9:46:27 PM] Priya Nair: lmaooo
[2025-10-12, 9:42:40 PM] Priya Nair: fr
[2025-10-13, 4:42:57 PM] Priya Nair: on my way
[2025-10-18, 5:01:32 PM] Priya Nair: almost done
[2025-10-20, 5:10:56 PM] Sam: what time
[2025-10-20, 8:21:41 PM] Priya Nair: almost done
[2025-10-22, 6:19:23 PM] Priya Nair: hold on
[2025-10-22, 9:50:56 PM] Priya Nair: i'm dying
[2025-10-25, 8:01:10 PM] Sam: send it
[2025-10-26, 7:14:28 PM] Priya Nair: stopppp
[2025-10-27, 4:04:41 PM] Sam: bet
[2025-10-30, 6:31:00 PM] Priya Nair: good morning
[2025-11-01, 7:19:22 PM] Priya Nair: we'll see
[2025-11-02, 10:27:13 PM] Sam: yeah
[2025-11-05, 6:36:37 PM] Sam: literally me
[2025-11-05, 10:46:49 PM] Priya Nair: i'm so tired
[2025-11-07, 8:40:02 PM] Priya Nair: what time
[2025-11-08, 9:06:28 PM] Priya Nair: what time
[2025-11-11, 8:08:50 PM] Priya Nair: good morning
[2025-11-12, 9:07:09 PM] Priya Nair: did you see that
[2025-11-13, 9:53:02 PM] Priya Nair: hold on
[2025-11-15, 9:49:00 PM] Priya Nair: i can't
[2025-11-16, 6:56:21 PM] Sam: ok deal
[2025-11-16, 9:36:41 PM] Sam: that's so real
[2025-11-19, 7:28:44 PM] Priya Nair: yeah
[2025-11-20, 5:18:48 PM] Priya Nair: bet
[2025-11-20, 6:23:07 PM] Sam: we'll see
[2025-11-21, 9:22:48 PM] Sam: ok deal
[2025-11-22, 9:01:42 PM] Sam: literally me
[2025-11-23, 5:05:06 PM] Priya Nair: ok deal
[2025-11-24, 5:22:24 PM] Priya Nair: study group later?
[2025-11-24, 9:10:44 PM] Priya Nair: let me check
[2025-11-27, 9:58:53 PM] Sam: no way
[2025-12-02, 8:23:40 PM] Priya Nair: 5 min
[2025-12-03, 8:47:30 PM] Priya Nair: i'm crying
[2025-12-04, 5:48:05 PM] Priya Nair: i'm dying
[2025-12-05, 9:38:18 PM] Priya Nair: did you end up moving? i saw the photos but i wasn't sure
[2025-12-06, 10:42:30 PM] Priya Nair: no way
[2025-12-08, 9:17:04 PM] Priya Nair: no way
[2025-12-09, 5:36:28 PM] Sam: study group later?
[2025-12-11, 7:25:26 PM] Priya Nair: stopppp
[2025-12-15, 10:08:59 PM] Priya Nair: lmaooo
[2025-12-16, 9:46:56 PM] Priya Nair: wait what
[2025-12-17, 4:24:09 PM] Priya Nair: literally me
[2025-12-19, 10:28:09 PM] Priya Nair: good morning
[2025-12-23, 4:43:25 PM] Priya Nair: bet
[2025-12-23, 10:45:56 PM] Sam: same tbh
[2025-12-25, 8:19:47 PM] Priya Nair: let me check
[2025-12-28, 7:45:10 PM] Priya Nair: yeah
[2025-12-28, 7:59:58 PM] Sam: same tbh
[2026-01-02, 9:53:13 PM] Priya Nair: ok i'll stop spamming you 😅 miss you though
